be into sth;interesować się czymś
born (dancer);urodzony (tancerz) / urodzona (tancerka)
capable of doing sth;zdolny do zrobienia czegoś
content with;zadowolony z
convinced of sth;przekonany o czymś
despise;pogardzać
detest;nie znosić
disapprove of sth;nie pochwalać, być przeciwnikiem czegoś
dismiss (an idea);odrzucić (pomysł)
expertise;wiedza specjalistyczna
focus on;skupić się, skoncentrować na
grasp sth;zrozumieć coś
have a go at sth;spróbować coś zrobić
indifferent to;obojętny na
mastery;mistrzostwo, doskonałe opanowanie umiejętności
proficient in/at;biegły, wprawny
pride yourself in sth;szczycić się czymś
regard sth as sth;uważać coś za coś
take an interest in sth;zainteresować się czymś
take pride in sth;szczycić się czymś
take risks;podejmować ryzyko
adhere to;trzymać się, stosować się do czegoś
adjust to;dostosować się do
altruism;altruizm
approve of sth/smb;aprobować kogoś, akceptować coś, pochwalać
assumption;założenie, przypuszczenie
autonomy;autonomia
be sceptical about;być sceptycznym wobec
be suspicious of;być podejrzliwym wobec
biased;stronniczy
collaboration;współpraca
compromise;kompromis
contribute to sth;wnieść w coś wkład
dignity;godność
discriminate against sb;dyskryminować kogoś
disobedient;nieposłuszny
diversity;różnorodność
empathy;empatia
equality;równość
inequality;nierówność
ethical;etyczny, moralny
ethics;etyka, moralność
face up to sth;stawić czemuś czoło
follow the rules;przestrzegać zasad
form an opinion;wyrobić sobie opinię
go with/against the flow;płynąć z prądem / pod prąd
gratitude;wdzięczność
human rights;prawa człowieka
integrity;prawość
judgement;osąd
justice;sprawiedliwość
keep an eye on (your goals);nie tracić celu z oczu
liberty;wolność
mindset;sposób myślenia
moral principles;zasady moralne
obedience;posłuszeństwo
disobedience;nieposłuszeństwo
outlook on;pogląd na
perceive;postrzegać, dostrzegać
perseverance;wytrwałość
principles;wartości, zasady
rebel against sth;buntować się przeciwko czemuś
self-esteem;poczucie własnej wartości
stand by your convictions;trwać przy swoich przekonaniach
support;popierać
take a stance on/against;trwać przy swoich przekonaniach
wisdom;mądrość
worldview;światopogląd
anger;złość
anxiety;niepokój
disapproval;dezaprobata
discomfort;dyskomfort
impatience;zniecierpliwienie
indecision;niezdecydowanie
insecurity;niepewność
irritation;irytacja
shyness;nieśmiałość
bang your fist (on a table);uderzyć pięścią (w stół)
beckon sb;przywołyłać gestem
